종목명,제목,증권사,첨부,작성일,조회수
엠씨넥스,2Q도 굿! 실적의 차별화 확대~,대신증권,https://stock.pstatic.net/stock-research/company/2/20250612_company_540798000.pdf,25.06.12,1025
지투파워,차려져 있는 밥상은 많다,교보증권,https://stock.pstatic.net/stock-research/company/2/20250612_company_363126000.pdf,25.06.12,1036
레드캡투어,영업환경 개선 중,하나증권,https://stock.pstatic.net/stock-research/company/57/20250612_company_77187000.pdf,25.06.12,455
풀무원,2Q25 Pre: 흥분을 가라앉히고…,하나증권,https://stock.pstatic.net/stock-research/company/57/20250612_company_946660000.pdf,25.06.12,897
롯데관광개발,괄목상대(刮目相對),한화투자증권,https://stock.pstatic.net/stock-research/company/16/20250612_company_589939000.pdf,25.06.12,1056
범한퓨얼셀,K-방산을 통한 해외 진출 가능성,신한투자증권,,25.06.12,836
KG이니시스,이제는 빛 볼 시기,신한투자증권,,25.06.12,656
티씨케이,실적 전망치 상향,키움증권,https://stock.pstatic.net/stock-research/company/39/20250612_company_542020000.pdf,25.06.12,570
디티앤씨알오,높아지는 실적 턴어라운드 기대감,키움증권,https://stock.pstatic.net/stock-research/company/1/20250612_company_530568000.pdf,25.06.12,383
동아에스티,"외형 성장 + R&D 모멘텀, ‘두 마리 토끼’ ..",한국IR협의회,https://stock.pstatic.net/stock-research/company/1/20250612_company_335265000.pdf,25.06.12,399
이오테크닉스,반도체향 매출 비중 증가는 현재형,한국IR협의회,https://stock.pstatic.net/stock-research/company/74/20250612_company_711698000.pdf,25.06.12,540
벨로크,안티드론 솔루션 연내 상용화 전망,IBK투자증권,https://stock.pstatic.net/stock-research/company/40/20250612_company_24742000.pdf,25.06.12,340
